sensor_label,value,timestamp
soil_sensor_1,2559,2637
soil_sensor_1,2608,5755
soil_sensor_1,2549,8977
soil_sensor_1,2603,12067
soil_sensor_1,2639,15176
soil_sensor_1,2559,18315
soil_sensor_1,2533,21407
soil_sensor_1,2615,24458
soil_sensor_1,2543,27536
soil_sensor_1,2593,30613
soil_sensor_1,2589,33733
soil_sensor_1,2581,36849
soil_sensor_1,2559,39923
soil_sensor_1,2576,42983
soil_sensor_1,2583,46093
soil_sensor_1,2610,49322
soil_sensor_1,2593,52417
soil_sensor_1,2559,55530
soil_sensor_1,2607,58662
soil_sensor_1,2589,61734
soil_sensor_1,2582,64987
soil_sensor_1,2603,68083
soil_sensor_1,2591,71154
soil_sensor_1,2578,74226
soil_sensor_1,2595,77300
soil_sensor_1,2554,80369
soil_sensor_1,2608,83421
soil_sensor_1,2606,86597
soil_sensor_1,2559,89677
soil_sensor_1,2624,92759
soil_sensor_1,2559,95842
soil_sensor_1,2615,98904
soil_sensor_1,2609,101963
soil_sensor_1,2597,105052
soil_sensor_1,2542,108436
soil_sensor_1,2594,111501
soil_sensor_1,2551,114665
soil_sensor_1,2601,117830
soil_sensor_1,2553,120913
soil_sensor_1,2588,124204
soil_sensor_1,2542,127260
soil_sensor_1,2559,130374
soil_sensor_1,2624,133427
soil_sensor_1,2559,136492
soil_sensor_1,2533,139752
soil_sensor_1,2612,142839
soil_sensor_1,2548,145915
soil_sensor_1,2554,149010
soil_sensor_1,2533,152465
soil_sensor_1,2559,155527
soil_sensor_1,2559,158605
soil_sensor_1,2559,161682
soil_sensor_1,2556,164785
soil_sensor_1,2543,168012
soil_sensor_1,2559,171572
soil_sensor_1,2544,174977
soil_sensor_1,2585,178074
soil_sensor_1,2613,181168
soil_sensor_1,2595,184350
